"dpp_id","dpp_shelf_pos","dpp_shelf_col_pos","dpp_rfid_cd","dpp_isbn","dpp_product_name","dpp_scaner_name"
1,1,1,"30838EE09E6080025B32F21C","4534047347",キャッチコピー力の基本,TECRFIDSCANNERUSB5
2,1,2,"30838EE09E6080025B32F221","4534058055",読まれる・稼げる　ブログ術大全,TECRFIDSCANNERUSB5
3,1,3,"30838EE09E6080025B32F224","4534036833",凡人が最強営業マンに変わる魔法のセールス,TECRFIDSCANNERUSB5
4,1,4,"30838EE09E6080025B32F226","4478090726",食品表示検定　中級・問題集,TECRFIDSCANNERUSB5
5,2,1,"30838EE09E6080025B32F227","4534059272",普通なのにまた行きたくなる「すごい接客」,TECRFIDSCANNERUSB5
6,2,2,"30838EE09E6080025B32F228","440735514X",令４　コンピュータ会計初級テキスト・問題,TECRFIDSCANNERUSB5
7,2,3,"30838EE09E6080025B32F22A","4534057113",デザイン力の基本,TECRFIDSCANNERUSB5
8,2,4,"30838EE09E6080025B32F22B","4484222140",日本がウクライナになる日,TECRFIDSCANNERUSB5
9,3,1,"30838EE09E6080025B32F22C","4582839029",ＳＷＡＮ　ＭＡＧＡＺＩＮＥ　２０２２夏号,TECRFIDSCANNERUSB5
10,3,2,"30838EE09E6080025B32F22D","4791630882",大人のピアノ　心に響く美しいメロディの名,TECRFIDSCANNERUSB5
11,3,3,"30838EE09E6080025B32F231","4065260698",永田町動物園　日本をダメにした１０１人,TECRFIDSCANNERUSB5
12,3,4,"30838EE09E6080025B32F232","486255590X",こども地政学　なぜ地政学が必要なのかがわ,TECRFIDSCANNERUSB5
13,4,1,"30838EE09E6080025B32F233","4054068529",佐藤優の地政学入門,TECRFIDSCANNERUSB5
14,4,2,"30838EE09E6080025B32F234","4415327664",アコースティックギターの弾き方　ＤＶＤ付,TECRFIDSCANNERUSB5
15,4,3,E2806810000000391B7F69AC,"440507139X",保育のうた１２か月,TECRFIDSCANNERUSB5
16,4,4,E2806810000000391B7F6C1D,"4426613655",２２　ユーキャンの宅建士きほんの教科書,TECRFIDSCANNERUSB5
